TR:BT20:CellLine,TR:EGF,TR:FGF1,TR:HGF,TR:IGF1,TR:INSULIN,TR:NRG1,TR:SERUM,TR:AKT_pT308i,TR:MEK1_pS217_S221i,DA:ALL,DV:4EBP1_pS65,DV:AKT_pS473,DV:AKT_pT308,DV:BAD_pS112,DV:c-JUN_pS73,DV:c-Met_pY1235,DV:c-Raf_pS338,DV:EGFR_pY992,DV:ER-alpha_pS118,DV:GSK3-alpha-beta_pS21_S9,DV:GSK3-alpha-beta_pS9,DV:HER2_pY1248,DV:HER3_pY1298,DV:JNK_pT183_pT185,DV:MAPK_pT202_Y204,DV:MEK1_pS217_S221,DV:mTOR_pS2448,DV:p70S6K_pT389,DV:p90RSK_pT359_S363,DV:PKC-alpha_pS657,DV:Rb_pS807_S811,DV:Src_pY416,DV:STAT3_pY705,DA:4EBP1_pS65,DA:AKT_pS473,DA:AKT_pT308,DA:BAD_pS112,DA:c-JUN_pS73,DA:c-Met_pY1235,DA:c-Raf_pS338,DA:EGFR_pY992,DA:ER-alpha_pS118,DA:GSK3-alpha-beta_pS21_S9,DA:GSK3-alpha-beta_pS9,DA:HER2_pY1248,DA:HER3_pY1298,DA:JNK_pT183_pT185,DA:MAPK_pT202_Y204,DA:MEK1_pS217_S221,DA:mTOR_pS2448,DA:p70S6K_pT389,DA:p90RSK_pT359_S363,DA:PKC-alpha_pS657,DA:Rb_pS807_S811,DA:Src_pY416,DA:STAT3_pY705
1,0,0,0,0,1,0,0,1,0,30,0.3146817106,0.2926786305,0.2332028635,0.4902166971,0.3737468086,0.5202466903,0.3861912322,0.2549865826,0.6782361382,0.2708377077,0.2732678061,0.1948298856,0.384153316,0.3890534707,0.3057079128,0.1746095401,0.4500669905,0.195028272,0.3321053235,0.6658362476,0.5102788256,0.4215525091,0.4534766315,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
1,0,0,0,0,1,0,0,1,0,60,0.5991686505,0.5324069852,0.4658833367,0.4688645906,0.4690026681,0.6674337928,0.4918554999,0.3447238495,0.6134807419,0.2500585659,0.335243438,0.410985751,0.2796690968,0.6219431356,0.2215779273,0.1645819355,0.6194294291,0.2547783502,0.4365762944,0.5143297729,0.6413576547,0.4517988755,0.5009459232,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
1,0,0,0,0,1,0,0,1,0,120,0.4632890427,0.7334618322,0.4055495779,0.542446333,0.5092900534,0.562853114,0.4608763314,0.3762943256,0.6990628832,0.4629027327,0.356872052,0.1586343814,0.217624318,0.6030656921,0.1662636325,0.1858570726,0.5278305998,0.4254841228,0.5690154587,0.6677341666,0.3832910505,0.3819910539,0.659886384,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
1,0,0,0,0,1,0,0,1,0,240,0.4964072134,0.2083094436,0.0728151195,0.3091195915,0.2471528117,0.4113653441,0.3275347735,0.5838214259,0.6418593499,0.347659068,0.4742846301,0.2251039089,0.4184811361,0.4823088685,0.1724969256,0.3006471568,0.60164171,0.3051414692,0.3225910335,0.5466129039,0.7143923302,0.6736408889,0.4891450229,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240
1,0,1,0,0,0,0,0,0,1,0,0.6058544864,0.0990309438,0.1562415454,0.3807707257,0.2707221924,0.3224283146,0.6216559922,0.4060232842,0.6997548233,0.4499155585,0.5262225777,0.2128133395,0.3769446492,0.4039897397,0.2686829787,0.2418733569,0.6512986171,0.4599595149,0.2582439968,0.6009181012,0.5703602174,0.3866000152,0.4897863698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,1,5,0.6636407611,0.557632718,0.237424322,0.4315432913,0.4900230667,0.609086548,0.3299528384,0.2733567131,0.7568663136,0.5298756455,0.3558686764,0.1955794927,0.227556238,0.4061483038,0.0596091811,0.1599578938,1,0.2403958682,0.3515022983,0.5185247665,0.3623706389,0.4117655054,0.5272420668,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,0,1,0,0,0,0,0,0,1,15,0.295710968,0.5640743521,0.402951022,0.4707359425,0.366004519,0.4617785015,0.6140263817,0.359797371,0.7252660345,0.3497548416,0.3807428559,0.3729784841,0.230078364,0.4284866564,0.0951492132,0.3641110423,0.5353329828,0.2821456798,0.2983174319,0.5467063595,0.5530564485,0.3043076283,0.5825401804,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
1,0,1,0,0,0,0,0,0,1,30,0.4134567391,0.3815649308,0.2946202472,0.7648820363,0.2434312737,0.3531311473,0.5993866649,0.3811681514,0.6310011911,0.2975555284,0.3477026214,0.225802228,0.2620006678,0.4530672338,0.2580973888,0.3442154284,0.3544542806,0.202498607,0.440294726,0.4499573825,0.5764097591,0.3328499949,0.7007928178,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
1,0,1,0,0,0,0,0,0,1,60,0.3069035293,0.3308995038,0.3458605392,0.4651221548,0.1944090715,0.5097185287,0.444701257,0.3243125426,0.6873486837,0.3140491541,0.3248089708,0.3331347392,0.4063166035,0.564080345,0.063442248,0.2518295686,0.5762310657,0.2893246206,0.533947532,0.5369422045,0.4400341577,0.4632631021,0.5674502552,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
1,0,1,0,0,0,0,0,0,1,120,0.4121889663,0.8241687015,0.4939505263,0.2961828995,0.2427959443,0.5160671118,0.7606014005,0.2411929726,0.5143380285,0.5818183791,0.3213889373,0.5586013876,0.3557080677,0.4768559173,0.4201105641,0.3799214076,0.4512706239,0.4062961394,0.2615088278,0.4952216259,0.6396587547,0.3288226512,0.4247125609,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
1,0,1,0,0,0,0,0,0,1,240,0.3100767979,0.7519172503,0.5064217843,0.3980435303,0.2357274982,0.5052962326,0.5918376001,0.3651577262,0.7102387934,0.2520484686,0.5230321115,0.4641104331,0.5406363685,0.662774075,0.2021231826,0.2753551489,0.429639362,0.3534795743,0.3261190063,0.6967148963,0.3880960489,0.4258252624,0.4669218598,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240
1,0,0,0,0,1,0,0,0,1,0,0.3874594525,0.2237298384,0.2221696301,0.5514709672,0.3889570218,0.4495197015,0.631092758,0.3408830849,0.7820049344,0.3176810903,0.5915022756,0.1875994049,0.325587943,0.3230690887,0.1914587035,0.1443080163,0.5119771384,0.4338372536,0.2774129085,0.5291981573,0.7396670858,0.3240804366,0.5456133377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,0,0,1,5,0.4625340123,0.429254742,0.3401225028,0.5560642858,0.2632388982,0.3477808699,0.3188266745,0.5023844295,0.5809522339,0.5359953764,0.2904460167,0.4164119904,0.2959156943,0.3833605791,0.1099281219,0.2250723871,0.4405476909,0.6312275958,0.4277174364,0.5614531693,0.4035065817,0.3410077675,0.463827849,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,0,0,0,0,1,0,0,0,1,15,0.2944474672,0.2685749503,0.3703262366,0.3350009058,0.4839262797,0.3315613601,0.3741449852,0.5064903179,0.5251813291,0.4184464806,0.421439473,0.4012710433,0.3925449577,0.63404293,0.1120077299,0.1451429363,0.4497336812,0.3111007091,0.2489286394,0.4901280046,0.4241220463,0.3808224009,0.6166238341,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
1,0,0,0,0,1,0,0,0,1,30,0.4863202299,0.6361249097,0.4031331075,0.4291097499,0.2258770943,0.4315620113,0.4154826025,0.2740956165,0.5382211455,0.2761703264,0.275925656,0.1477731058,0.3095532952,0.4733278327,0.1632514366,0.3093638945,0.409346834,0.2916225739,0.271200289,0.5886323833,0.5504697753,0.5562587319,0.6344794553,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
1,0,0,0,0,1,0,0,0,1,60,0.3995754232,0.428872751,0.5593370125,0.2831028451,0.3381146928,0.3261069945,0.5249873982,0.253611819,0.5758692296,0.4438119285,0.538255393,0.2735127522,0.4493012597,0.3283973118,0.2265948004,0.3339558051,0.3888820938,0.3848275831,0.4096546983,0.537684574,0.5473443558,0.5395849383,0.4041749437,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
1,0,0,0,0,1,0,0,0,1,120,0.3731098644,0.2946284219,0.717667348,0.4616912978,0.259802811,0.4289085623,0.5576722029,0.48089275,0.6724931022,0.3283650417,0.3287974992,0.2205009453,0.3544589672,0.3785417829,0.0437917246,0.2309097932,0.4827692753,0.4572855854,0.4016314441,0.8089119529,0.4549361902,0.3419303736,0.6427501846,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
1,0,0,0,0,1,0,0,0,1,240,0.3749215803,0.459344334,0.3289250744,0.3261724859,0.2692949017,0.3734028118,0.5737088705,0.2578101347,0.5587857324,0.294900889,0.42218934,0.1998548952,0.2304506827,0.4144740353,0.1447526683,0.3539288663,0.4414848432,0.2546022746,0.3540664225,0.7011682248,0.439615367,0.4098675127,0.7670111344,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240
1,0,1,0,0,0,0,0,0,0,0,0.5076984617,0.1374415929,0.1162134822,0.3710842877,0.2543457209,0.5700348823,0.4425882919,0.2465489609,0.6256686094,0.3991468184,0.4662004934,0.4814225919,0.2258454036,0.3520043625,0.3284066688,0.2180854681,0.5560797928,0.3835448945,0.3910708767,0.6363235089,0.6159026684,0.3479839135,0.5025627273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,5,0.5267492225,0.2032313877,0.3583995129,0.7364871672,0.2790772043,0.4508627547,0.4685433609,0.4201994529,0.5124376773,0.5933859539,0.3174029276,0.1469074434,0.2770244845,0.3985745121,0.1744145223,0.232650863,0.616302897,0.7675395058,0.3019343146,0.6123894894,0.6099664315,0.2713777892,0.4738893853,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,0,1,0,0,0,0,0,0,0,15,0.4787313423,0.1667056187,0.2753087803,0.4865117095,0.2839548065,0.3933515329,0.5344956756,0.3266366295,0.5423256957,0.6517109007,0.3503074258,0.3429123355,0.35925758,0.6079671608,0.2784066818,0.3354740143,0.4726486022,0.3778480959,0.3937329979,0.4750190865,0.3957133818,0.4934030075,0.4929599707,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
1,0,1,0,0,0,0,0,0,0,30,0.3143449474,0.320995286,0.2420415698,0.6936096403,0.3834817684,0.3441451121,0.5125520004,0.5602563229,0.6118128861,0.366382323,0.5619101179,0.2516798106,0.4233923334,0.4032322571,0.2978557681,0.1967716903,0.492902365,0.388144693,0.3498310838,0.9129045322,0.5079295704,0.4272063048,0.6357091099,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
1,0,1,0,0,0,0,0,0,0,60,0.3213517188,0.4297476442,0.1902381574,0.3881965267,0.3421674684,0.3480439705,0.6041258119,0.4748039531,0.7825033334,0.3725994707,0.5641680576,0.2974114927,0.4804114479,0.6135335854,0.3261734098,0.2441404964,0.5509131381,0.5975266574,0.4419783505,0.7434368785,0.6500254831,0.455339932,0.606201658,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
1,0,1,0,0,0,0,0,0,0,120,0.5123202489,0.1343164078,0.2141437514,0.3390284168,0.3405073046,0.403891449,0.3538909873,0.2456110976,0.5621943515,0.3523903409,0.5309290994,0.2886773445,0.2318186931,0.3426072729,0.1861169441,0.168786133,0.4702998876,0.4100121966,0.5202853178,0.6029147875,0.5890065218,0.5536645987,0.4342554635,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
1,0,1,0,0,0,0,0,0,0,240,0.6087289956,0.538694982,0.2693874491,0.3954183174,0.3340913671,0.3792898702,0.6581481021,0.3189928579,0.5971741338,0.4060897738,0.5060231353,0.2892062059,0.3310691708,0.534780902,0.3013568757,0.2475654836,0.7265304684,0.469493222,0.3989710379,0.8577008117,0.4880455187,0.4122895721,0.5264107482,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240
1,1,0,0,0,0,0,0,0,0,0,0.542797282,0.3827521152,0.1692841484,0.6144231337,0.4823062253,0.4960547005,0.4711586829,0.2707284556,0.8702801135,0.3640762609,0.4740085225,0.2573838203,0.3788752346,0.476280758,0.1655455513,0.2874563428,0.4990675037,0.5381425015,0.2934569419,0.4869511648,0.4895579952,0.4711450214,0.4785677246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,5,0.4482449699,0.3994564675,0.6560575895,0.6497203402,0.372850765,0.4082771633,0.5510664912,0.3467500768,0.6588069826,0.6683229187,0.5022863295,0.7732137667,0.2447510524,0.5016062101,0.8131432965,0.6647125798,0.5339290366,0.4291061685,0.4950911795,0.6652596611,0.576750997,0.5356079879,0.5523811996,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,0,0,0,0,0,0,0,0,15,0.4249379376,0.518907501,0.21898831,0.5798262599,0.2257513211,0.3462704331,0.6778847433,0.6500018819,0.5501534517,0.5875988132,0.5531318105,0.6325063,0.3432816004,0.4116295607,0.4701988812,0.6321344541,0.6847374136,0.4749059865,0.5335083401,0.6598146869,0.441848063,0.705861397,0.6042926225,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
1,1,0,0,0,0,0,0,0,0,30,0.5216848512,0.321263364,0.220679171,0.6031315727,0.2366299057,0.4139573517,0.5081249854,0.4513038468,0.6446638587,0.6008670838,0.6432079706,0.5797192432,0.5704706494,0.5522187939,0.4826556066,0.5629136455,0.7336943778,0.4732767058,0.8498179357,0.5760296367,0.4638020533,0.4497064462,0.700902503,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
1,1,0,0,0,0,0,0,0,0,60,0.3371253435,0.4272478223,0.2981467447,0.8126649086,0.2930883175,0.4922653683,0.4953104929,0.3786380442,0.5973740734,0.5089226436,0.6494718104,0.5880840954,0.3113808437,0.3561277367,0.4764282231,0.6107450899,0.8922343447,0.5373185696,0.5889906966,0.4594951939,0.4692820306,0.743349209,0.5792327103,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
1,1,0,0,0,0,0,0,0,0,120,0.3895134849,0.4654140076,0.2349788615,0.7646071691,0.474522114,0.5955258144,0.4797053734,0.4632769178,0.6252265547,0.4397453759,0.5344163404,0.8091156645,0.3733199288,0.5848876127,0.7474057344,0.5281788112,0.6312088578,0.8117612326,0.6735667669,0.538878778,0.5504995005,0.6821225391,0.6005968865,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
1,1,0,0,0,0,0,0,0,0,240,0.3902093111,0.35992162,0.2079986105,0.6141503301,0.403807667,0.4356745303,0.5452765762,0.3677987537,0.6009518759,0.5405187773,0.6039813382,0.8058540057,0.3217885419,0.6627856288,0.3909432756,0.5467135817,0.6786551495,0.5222033581,0.8006695112,0.5413970164,0.4596133654,0.5383063156,0.7896130756,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240
1,0,0,0,1,0,0,0,0,0,0,0.4702768847,0.1790277039,0.1254424299,0.6201262429,0.2201284793,0.3732527266,0.2997297241,0.2518872142,0.6153289489,0.3543646424,0.649023121,0.2103471583,0.2601576467,0.5942336311,0.1519906824,0.1109244807,0.4220368848,0.27905787,0.3782228869,0.6748102319,0.379097716,0.5098044483,0.5371315059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0,5,0.4266473919,0.1365931552,0.1471249753,0.4019463304,0.2444593292,0.4200322811,0.5049108633,0.5739043301,0.6401504086,0.337334996,0.6512520468,0.3366926052,0.6851852732,0.4393718035,0.1471704413,0.0617627854,0.4928153335,0.5472613643,0.5321702206,0.6495712096,0.4292863492,0.3055351067,0.6029488698,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,0,0,0,1,0,0,0,0,0,15,0.6849770978,0.3290941983,0.24529739,0.4208727922,0.5334451385,0.5368484422,0.5404837869,0.4504749529,0.742929807,0.6256045033,0.4452153375,0.1780302249,0.5348443383,0.5421192606,0.216089532,0.0662662284,0.5526298661,0.4845751375,0.3637887411,0.6389858279,0.4083340737,0.5442438335,0.5494390188,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
1,0,0,0,1,0,0,0,0,0,30,0.5411485583,0.5612190979,0.1699781012,0.4217617054,0.3149623901,0.3814145198,0.4106096946,0.4338065337,0.5551272746,0.4662127089,0.5126763898,0.2740266885,0.4369730352,0.6129530685,0.3404985122,0.2019008563,0.6696909558,0.5077068823,0.5053786567,0.8517664918,0.400494467,0.2720441428,0.5809602256,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
1,0,0,0,1,0,0,0,0,0,60,0.4374714454,0.3795731165,0.2948703828,0.4998687704,0.2262090168,0.3960487003,0.3400483782,0.2342920976,0.6374775622,0.3579490876,0.4348206057,0.1624102252,0.2520817796,0.423778322,0.2097102557,0.1464979268,0.5127853311,0.4544581224,0.3851502082,0.4569186993,0.4873497432,0.4729782298,0.5041185132,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
1,0,0,0,1,0,0,0,0,0,120,0.527955879,0.4355117699,0.2517027764,0.6284307283,0.3642090039,0.4057795747,0.3013571919,0.2140225557,0.467068994,0.3839191999,0.5756807401,0.1344564514,0.6332512909,0.4740515738,0.3746263711,0.0871557974,0.5708994118,0.5008668356,0.4431363926,0.4573881757,0.3663245756,0.2491443129,0.6117219072,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
1,0,0,0,1,0,0,0,0,0,240,0.408633107,0.2372007392,0.4116094447,0.4510972724,0.1964803656,0.4200765646,0.433025302,0.263639418,0.6064746723,0.5871132661,0.4431290041,0.1965092137,0.2905361751,0.3945894666,0.2498235493,0.0769501042,0.435100689,0.4239152183,0.4117532071,0.5831816815,0.4345531359,0.3022020684,0.515076433,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240
1,0,0,1,0,0,0,0,1,0,0,0.3999525656,0.6600313221,0.7344918497,0.4200450845,0.2136405551,0.4929862348,0.4860979095,0.722715898,0.7358420982,0.5867780503,0.4085395024,0.306876272,0.1886565978,0.3098862374,0.1386470118,0.3883802405,0.5151100062,0.5972521291,0.3121783581,0.5268805141,0.5192978377,0.3631056443,0.560573886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,1,0,5,0.4844676897,0.5662145405,0.4135742812,0.6749369977,0.243796848,0.9436783924,0.6153852679,0.3044730312,0.6586685006,0.5066868082,0.4605256472,0.4011749698,0.2718496436,0.472551381,0.68646944,0.5252857443,0.4849725627,0.2188291235,0.5602467868,0.5927649243,0.6139313657,0.345746899,0.4690251542,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,0,0,1,0,0,0,0,1,0,15,0.4721816168,0.5340177923,0.8401667468,0.7018627791,0.2343662571,0.8773485999,0.44516733,0.2281570921,0.8414085995,0.4394890795,0.4025394649,0.2762679341,0.4775679553,0.530414465,0.7873130877,0.5058013282,0.834027942,0.2992662505,0.5026927503,0.6115609932,0.42713731,0.5223168367,0.5450354981,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
1,0,0,1,0,0,0,0,1,0,30,0.4190391438,0.420557521,0.411456485,0.467459898,0.3183748708,0.5065619461,0.5846816,0.31779273,0.5574191777,0.3250863887,0.410031596,0.2342588354,0.7188506132,0.6072952975,0.3708074147,0.2073241515,0.4936324151,0.3509865771,0.5005711717,0.6480468069,0.7854310188,0.3557372687,0.8220195292,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
1,0,0,1,0,0,0,0,1,0,60,0.4504614936,0.489490728,0.5451281,0.5680707102,0.3711342083,0.4396471799,0.5981484368,0.4379738082,0.7069111223,0.3940019194,0.3927077894,0.410557474,0.2969454906,0.3737856236,0.4708143521,0.2133477784,0.5781062397,0.4725918016,0.6379801692,0.6016011491,0.8170862655,0.4130627632,0.518258301,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
1,0,0,1,0,0,0,0,1,0,120,0.3974736171,0.3897561208,0.4450492079,0.6961451435,0.3200724286,0.5425231918,0.5245115927,0.1873155906,0.627820039,0.421328271,0.5758510197,0.3608849459,0.5047724491,0.266088339,0.4019464708,0.2874223064,0.5308103553,0.3392417177,0.5052039168,0.4423612138,0.6807583784,0.2152762305,0.7408356218,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
