TR:BT549:CellLine,TR:EGF,TR:FGF1,TR:HGF,TR:IGF1,TR:INSULIN,TR:NRG1,TR:SERUM,TR:AKT_pT308i,DA:ALL,DV:4EBP1_pS65,DV:AKT_pS473,DV:AKT_pT308,DV:BAD_pS112,DV:c-Met_pY1235,DV:c-Raf_pS338,DV:ER-alpha_pS118,DV:GSK3-alpha-beta_pS21_S9,DV:GSK3-alpha-beta_pS9,DV:HER2_pY1248,DV:HER3_pY1298,DV:JNK_pT183_pT185,DV:MAPK_pT202_Y204,DV:MEK1_pS217_S221,DV:mTOR_pS2448,DV:p70S6K_pT389,DV:p90RSK_pT359_S363,DV:Rb_pS807_S811,DV:Src_pY416,DV:STAT3_pY705,DA:4EBP1_pS65,DA:AKT_pS473,DA:AKT_pT308,DA:BAD_pS112,DA:c-Met_pY1235,DA:c-Raf_pS338,DA:ER-alpha_pS118,DA:GSK3-alpha-beta_pS21_S9,DA:GSK3-alpha-beta_pS9,DA:HER2_pY1248,DA:HER3_pY1298,DA:JNK_pT183_pT185,DA:MAPK_pT202_Y204,DA:MEK1_pS217_S221,DA:mTOR_pS2448,DA:p70S6K_pT389,DA:p90RSK_pT359_S363,DA:Rb_pS807_S811,DA:Src_pY416,DA:STAT3_pY705
1,0,0,0,0,0,0,0,1,30,0.5455131733,0.5569924059,0.6565477798,0.4890705453,0.4906275895,0.465966526,0.8267690922,0.3740870217,0.4649284057,0.1757393095,0.6842061852,0.5203689192,0.2137168154,0.3521712279,0.589671348,0.3797471097,0.7879055366,0.5685042277,0.3223462711,0.6927757605,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
1,0,0,0,0,0,0,0,1,60,0.5295433631,0.5402007898,0.6280481502,0.5257245028,0.4923009706,0.4015620332,0.8479665366,0.3552530945,0.456835902,0.1668012541,0.6680437931,0.5339334537,0.2082849102,0.3561486951,0.5617127523,0.4212289431,0.7634953424,0.6028728376,0.3361311564,0.6662326131,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
1,0,0,0,0,0,0,0,1,120,0.4879779821,0.5147520834,0.6470924207,0.5441736835,0.537155901,0.4869245938,0.8367143809,0.3524351568,0.427306407,0.1714782563,0.7021854621,0.5117074,0.1743269615,0.3046686551,0.6860999217,0.4569431903,0.8349542334,0.5757759451,0.3673861082,0.6995759274,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
1,0,0,0,0,0,0,0,1,240,0.5629053661,0.5223154404,0.735264836,0.5315635676,0.5039555275,0.5198451644,0.8134749051,0.3731500624,0.4480483196,0.1703250241,0.7252425435,0.5334931264,0.192755227,0.3185487702,0.6848557635,0.4479087876,0.806093469,0.5978343585,0.3510621346,0.6835594092,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240
1,0,0,0,0,0,1,0,1,0,0.6134434491,1,1,0.7063129264,0.4783750247,0.3598044924,0.7763920952,0.5024594698,0.5648992209,0.2104704344,0.6491951717,0.6608566935,0.2944714268,0.3571275502,0.6095369983,0.476587594,0.8161967572,0.6148986434,0.3088508638,0.7728989325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0,1,5,0.7469618164,0.5966873608,0.6436808833,0.5311855505,0.4488381879,0.3807846027,0.7831056723,0.3232183711,0.4049615654,0.1784110431,0.6795573406,0.5701720455,0.1870461123,0.3594226434,0.5935935305,0.5023881175,0.8025328212,0.5796952441,0.3072974773,0.6736428957,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,0,0,0,0,0,1,0,1,15,0.7188322372,0.5886501943,0.7229182129,0.5579487086,0.4761166588,0.4451717812,0.7390742838,0.3181161872,0.4166979508,0.1813751057,0.6740776959,0.5610723343,0.1765180934,0.3790362924,0.5964404459,0.4736959423,0.8299684855,0.6143692037,0.3172580758,0.6599189751,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
1,0,0,0,0,0,1,0,1,30,0.7087201556,0.6485300122,0.7355036012,0.533285462,0.4614036599,0.4495208445,0.7215466208,0.3400437754,0.4531865807,0.1737523681,0.603211965,0.5432583545,0.2038465929,0.3697564927,0.5347606456,0.4007694464,0.7964167645,0.6212184475,0.3154651019,0.697153465,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
1,0,0,0,0,0,1,0,1,60,0.7752752955,0.6706117283,0.7931293963,0.5521715588,0.4598773088,0.3706260871,0.7951419745,0.3918040802,0.4849461534,0.1755866451,0.6213331282,0.6083350825,0.2154631282,0.3155909336,0.5069821862,0.3979665922,0.764318367,0.5494247376,0.3067453026,0.6465700038,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
1,0,0,0,0,0,1,0,1,120,0.5417042444,0.5354367746,0.7278295163,0.5347858987,0.4973452288,0.5190840249,0.7794638074,0.3662268097,0.4248130071,0.1689147573,0.6592580645,0.5540451797,0.165254219,0.3030001093,0.6520922355,0.4559471474,0.8311070775,0.5819371723,0.3173674795,0.6652529854,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
1,0,0,0,0,0,1,0,1,240,0.5252380576,0.5250020149,0.7096096465,0.5322123733,0.515827044,0.5479558111,0.8116576862,0.3656249704,0.4464196819,0.1836531938,0.6814346947,0.6190916682,0.2130635366,0.33486295,0.6732842779,0.4547625566,0.8477078386,0.6009107406,0.3258819322,0.7229587229,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240
1,0,1,0,0,0,0,0,1,0,0.6134434491,1,1,0.7063129264,0.4783750247,0.3598044924,0.7763920952,0.5024594698,0.5648992209,0.2104704344,0.6491951717,0.6608566935,0.2944714268,0.3571275502,0.6095369983,0.476587594,0.8161967572,0.6148986434,0.3088508638,0.7728989325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,1,5,0.6648458232,0.5596862052,0.5957763894,0.5358195544,0.4724968882,0.412012503,0.7304843642,0.3125757952,0.4123105628,0.1682217437,0.613049549,0.5512436613,0.1965021998,0.3679204695,0.6134988435,0.5168943924,0.8516579676,0.5949427276,0.2972000417,0.7257715034,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,0,1,0,0,0,0,0,1,15,0.6476592824,0.5380272564,0.6458795101,0.5404083624,0.4140693226,0.3454692709,0.7856378153,0.2633391376,0.3534879405,0.1738253508,0.6359994821,0.5673295402,0.0887495848,0.3037845648,0.6089868488,0.423907382,0.7984213855,0.6151457852,0.3072408766,0.6780535758,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
1,0,1,0,0,0,0,0,1,30,0.6712266773,0.6070530076,0.7435103487,0.4890193101,0.4654879537,0.4122887437,0.876343023,0.2962946344,0.3957890405,0.1822237049,0.6721003815,0.5356731708,0.1219146864,0.2963707593,0.5193672353,0.3232653993,0.8181661776,0.5739722306,0.3103244425,0.702540407,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
1,0,1,0,0,0,0,0,1,60,0.6360868515,0.6855900288,0.7778378638,0.4905505877,0.4469459449,0.3871493569,0.8352752253,0.3089983664,0.4172040553,0.1773631986,0.6816396234,0.5495513916,0.1341755601,0.2871426685,0.5952200563,0.3049037668,0.7792109979,0.5319010961,0.3156172712,0.6997575888,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
1,0,1,0,0,0,0,0,1,120,0.5534333672,0.5363438933,0.6568065329,0.4915290242,0.4932704957,0.462712627,0.8172999969,0.3039959395,0.3856398294,0.1731393381,0.6767461368,0.5394189592,0.1284257959,0.300329099,0.6226903115,0.3847415814,0.8336987582,0.5486030145,0.3448734607,0.6925457748,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
1,0,1,0,0,0,0,0,1,240,0.5748494327,0.5641937343,0.8028378716,0.5095534076,0.5190129203,0.5107082724,0.7988748113,0.3439608116,0.4378739159,0.1784758335,0.7182027446,0.5903677424,0.1838828285,0.2991625778,0.6306108824,0.4065759821,0.817767742,0.5988259535,0.3313840193,0.6396861226,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240
1,0,0,0,0,0,1,0,0,0,0.6134434491,0.3204814567,0.4199008994,0.7063129264,0.4783750247,0.3598044924,0.7763920952,0.5024594698,0.5648992209,0.2104704344,0.6491951717,0.6608566935,0.2944714268,0.3571275502,0.6095369983,0.476587594,0.8161967572,0.6148986434,0.3088508638,0.7728989325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,5,0.6304094914,0.2914077673,0.2774263173,0.558818982,0.4299032693,0.3914811386,0.773670873,0.4894720429,0.6059907281,0.1842758519,0.5967826318,0.5900211686,0.2168070317,0.3600932875,0.6391693342,0.682132584,0.7916260078,0.6094403439,0.2986278004,0.7468627426,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,0,0,0,0,0,1,0,0,15,0.7455834057,0.259945818,0.2492781374,0.614403101,0.4325122576,0.3466911255,0.7217259908,0.4776789901,0.5846688006,0.1857915034,0.6037935485,0.5549836003,0.1878763093,0.3799462061,0.5441348946,0.6786372162,0.7822843809,0.602940597,0.2903941013,0.6848185439,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
1,0,0,0,0,0,1,0,0,30,0.6628782824,0.3307752817,0.3357786386,0.5442676361,0.4428937213,0.4381177948,0.7697457191,0.5010548419,0.6577447898,0.1787105896,0.5676509492,0.5838234053,0.2326963428,0.3486406501,0.6174379068,0.5810721762,0.7674557863,0.5679869537,0.2999423406,0.6814305646,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
1,0,0,0,0,0,1,0,0,60,0.6905061031,0.3010448437,0.3402461712,0.5381847618,0.4249741921,0.3703276768,0.7574108875,0.4639373538,0.6194940741,0.1860908147,0.6384049471,0.6351696348,0.2483016859,0.3482110255,0.5863306363,0.5797780587,0.7458062938,0.605354835,0.31483411,0.6936939084,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
1,0,0,0,0,0,1,0,0,120,0.6098723019,0.2832443952,0.3413297789,0.5599623718,0.4937661537,0.4711030739,0.7760940387,0.4791052305,0.5597863886,0.1786956444,0.6595425856,0.569121376,0.183892799,0.3164628393,0.7062112171,0.5696944933,0.8219759286,0.5665857253,0.3389066197,0.6783586258,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
1,0,0,0,0,0,1,0,0,240,0.6800925702,0.3511182378,0.3644913313,0.5554085037,0.4940069701,0.5428439504,0.7433388052,0.5180516135,0.5620491287,0.1838950568,0.6553378832,0.6165967733,0.2118144471,0.3042586871,0.6901918842,0.5749502162,0.8151337125,0.5231736767,0.3485242245,0.6580561046,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240
1,0,1,0,0,0,0,0,0,0,0.6134434491,0.3204814567,0.4199008994,0.7063129264,0.4783750247,0.3598044924,0.7763920952,0.5024594698,0.5648992209,0.2104704344,0.6491951717,0.6608566935,0.2944714268,0.3571275502,0.6095369983,0.476587594,0.8161967572,0.6148986434,0.3088508638,0.7728989325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,5,0.5803798739,0.2584797317,0.2634700929,0.5472148396,0.436536216,0.3623178115,0.7744551056,0.4665373117,0.5925816074,0.1612307097,0.5871651102,0.5331669256,0.1853014164,0.3589018821,0.6825721423,0.6511819706,0.7990986335,0.591016419,0.3076244568,0.7063318162,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,0,1,0,0,0,0,0,0,15,0.5961159281,0.2271674237,0.2476582577,0.5747088204,0.4478866363,0.3217690013,0.7347169315,0.467886241,0.5654670681,0.1765632647,0.586498137,0.5779100898,0.0972464962,0.3170490427,0.6433769339,0.6173174383,0.7197936701,0.5818730502,0.3087696378,0.7017788792,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
1,0,1,0,0,0,0,0,0,30,0.6954596484,0.2907852287,0.339176258,0.5436617198,0.4285667466,0.3533739364,0.8302452279,0.5318770579,0.6503423768,0.1783436728,0.6294282976,0.5786795746,0.139133175,0.3219419789,0.5575254105,0.5442738315,0.7291655844,0.5656670175,0.3087678576,0.6568542862,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
1,0,1,0,0,0,0,0,0,60,0.6536877016,0.2968395362,0.3325694526,0.5051222159,0.4825201342,0.4049710983,0.8347620599,0.4862037622,0.6534194828,0.1737954017,0.5992572633,0.5779667251,0.1382346424,0.300606376,0.64378553,0.5567106009,0.684464046,0.544147608,0.3231997192,0.6846103183,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
1,0,1,0,0,0,0,0,0,120,0.5470496911,0.2742514508,0.3166854542,0.5250842057,0.4921854721,0.4915676279,0.7674950034,0.4939279601,0.5553958121,0.1845886056,0.6881525864,0.5649514148,0.1555375135,0.3077570404,0.7092722823,0.5235457644,0.8297896799,0.5036789431,0.3307756889,0.6945732374,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
1,0,1,0,0,0,0,0,0,240,0.6305589195,0.3317690092,0.3364678393,0.534238274,0.4513511875,0.5532345509,0.7669942185,0.5319466217,0.5772998488,0.1835451403,0.6770877058,0.6005756531,0.2013952121,0.3092673538,0.6940147689,0.5351758899,0.8330875988,0.5310631098,0.3418985237,0.6091236442,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240
1,0,0,0,1,0,0,0,1,0,0.6134434491,1,1,0.7063129264,0.4783750247,0.3598044924,0.7763920952,0.5024594698,0.5648992209,0.2104704344,0.6491951717,0.6608566935,0.2944714268,0.3571275502,0.6095369983,0.476587594,0.8161967572,0.6148986434,0.3088508638,0.7728989325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,1,5,0.6116814411,0.6327236304,0.6597184674,0.49592144,0.444215057,0.4158952815,0.7372950729,0.3479281102,0.4364266243,0.1889106237,0.7016668915,0.5683721033,0.2088286323,0.3538812202,0.648859792,0.4692038356,0.8116088098,0.6351556087,0.3335186709,0.6878234574,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,0,0,0,1,0,0,0,1,15,0.5682756754,0.5594103892,0.6309862243,0.5111168351,0.4946173329,0.3822723893,0.7585781589,0.2999662793,0.4080082009,0.1931087301,0.6795377972,0.517772357,0.1792680694,0.3710471927,0.5784518047,0.4418712624,0.7344497272,0.6042385054,0.3153787752,0.6546439414,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
1,0,0,0,1,0,0,0,1,30,0.5060562262,0.6376898883,0.6858379423,0.5172671799,0.5332685822,0.4417433273,0.8413222274,0.3704614419,0.4713407321,0.1809711587,0.7112811789,0.5328994007,0.2269234338,0.3613525116,0.5886846336,0.3921120446,0.8022332557,0.6045568068,0.3408544194,0.681942129,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
1,0,0,0,1,0,0,0,1,60,0.5526878948,0.6589512334,0.6977040619,0.4997831677,0.5073588266,0.3697801877,0.8405005316,0.3516469506,0.458490522,0.1628673981,0.7348713228,0.5433106908,0.2136967816,0.3461753819,0.5458009317,0.4170484603,0.7618105559,0.572285801,0.3229898994,0.644552872,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
1,0,0,0,1,0,0,0,1,120,0.4559849721,0.5096416086,0.6348177627,0.5251273959,0.5539776267,0.552575052,0.8571073565,0.3651619858,0.4507247551,0.174810981,0.7749882303,0.569465274,0.1750884265,0.2890911174,0.709133997,0.4686192841,0.8149791259,0.5875340288,0.3628064101,0.663723777,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
1,0,0,0,1,0,0,0,1,240,0.530066498,0.5957538453,0.7647930837,0.5233216893,0.524841698,0.5289306281,0.8310779474,0.4212850397,0.4458433489,0.1736635027,0.7548214414,0.5846680568,0.2025068813,0.3044937767,0.693957024,0.4335906726,0.8299568174,0.5907451531,0.35967516,0.6519829007,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240
1,0,0,0,1,0,0,0,0,0,0.6134434491,0.3204814567,0.4199008994,0.7063129264,0.4783750247,0.3598044924,0.7763920952,0.5024594698,0.5648992209,0.2104704344,0.6491951717,0.6608566935,0.2944714268,0.3571275502,0.6095369983,0.476587594,0.8161967572,0.6148986434,0.3088508638,0.7728989325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,5,0.7217594446,0.3115095889,0.3574792415,0.5024305298,0.4378646666,0.3703781073,0.6696637759,0.5712125525,0.6440521927,0.1587324859,0.5905525981,0.4799703381,0.0755167666,0.2467860631,0.6513714653,0.5981614393,0.7409132253,0.5483587834,0.3055718051,0.5652935711,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,0,0,0,1,0,0,0,0,15,0.7000098318,0.2541918436,0.3247155609,0.5578079961,0.448416035,0.3423979386,0.7240934315,0.527510728,0.6287992925,0.1659722346,0.6489691531,0.5057689815,0.064686098,0.2268759372,0.7483700896,0.4879264393,0.6641713287,0.5363258756,0.3118436401,0.6007426648,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
1,0,0,0,1,0,0,0,0,30,0.6673640252,0.3830955355,0.4105850342,0.5830636898,0.3926860788,0.3746575688,0.6938271668,0.5731996374,0.6696615801,0.1704813079,0.6191940998,0.5161822943,0.0787818054,0.2537255157,0.6733811535,0.4846876446,0.6658818947,0.5341394084,0.3063672433,0.6798008193,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
1,0,0,0,1,0,0,0,0,60,0.6229352233,0.37701551,0.4568993575,0.4891295172,0.472418557,0.4656838943,0.7133944223,0.6588800468,0.7737319429,0.1523395301,0.6212055835,0.4573041364,0.1016502705,0.2627358591,0.6550631981,0.4576220341,0.6813108209,0.5274823521,0.3030374793,0.5517049143,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
1,0,0,0,1,0,0,0,0,120,0.7022967394,0.3477070146,0.3730424145,0.475593962,0.4104157583,0.3784758351,0.7465948592,0.5673609863,0.7099401317,0.158436263,0.6265255,0.5214747234,0.1080827913,0.2715832385,0.6834482293,0.4835021992,0.6865524843,0.5074391509,0.3113392404,0.5795058684,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
1,0,0,0,1,0,0,0,0,240,0.7010486147,0.3323337032,0.3376144773,0.4403976295,0.4150735707,0.3965776147,0.7664163789,0.5546847225,0.6490558809,0.1518405416,0.6078997071,0.5201849249,0.0950462916,0.2581645149,0.6797063256,0.4934996101,0.7140403286,0.4725801317,0.3348649337,0.5563258659,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240
1,0,0,1,0,0,0,0,0,0,0.6134434491,0.3204814567,0.4199008994,0.7063129264,0.4783750247,0.3598044924,0.7763920952,0.5024594698,0.5648992209,0.2104704344,0.6491951717,0.6608566935,0.2944714268,0.3571275502,0.6095369983,0.476587594,0.8161967572,0.6148986434,0.3088508638,0.7728989325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,5,0.6102927751,0.6503732897,0.7903508755,0.595976216,1,0.7752034649,0.7574386852,0.6093115463,0.5762891606,0.2318517563,0.9462722268,0.5707289916,0.7076652456,0.8694450237,0.7507195268,0.519572943,0.903292577,0.5748891036,0.377609504,0.5574692681,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,0,0,1,0,0,0,0,0,15,0.7199682267,0.6165040002,0.7233907628,0.7985221704,0.8004040811,0.6356560545,0.8395700627,0.670204771,0.7636421985,0.2548563172,0.6229333702,0.6935557968,0.8860975663,1,0.7185591285,0.5100208138,0.8525999156,0.6076397803,0.3712115057,0.675473059,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
1,0,0,1,0,0,0,0,0,30,0.7021743723,0.7380806839,0.7068905696,0.8000402276,0.8105973786,0.6764330484,0.8335488541,0.7089384083,0.8069119397,0.2446529795,0.7911469991,0.7618928278,0.866406611,0.7199436102,0.7367259305,0.5913498719,0.9071834073,0.7945688889,0.3785129781,0.6166875527,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
1,0,0,1,0,0,0,0,0,60,0.4920384852,0.7156790883,0.8673212547,0.9927917251,0.6975659137,0.7107031883,0.7162708982,0.6445474055,0.6516650789,0.2637171765,1,0.9057102806,0.7825530498,0.7639596555,0.7176761798,0.588628084,0.789930866,0.8295872007,0.3978969875,0.6984935581,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
1,0,0,1,0,0,0,0,0,120,0.4634799701,0.6538586061,0.822105638,0.861138549,0.5562423381,0.7825258772,0.7510949904,0.6238984193,0.6408126201,0.2550788495,0.6577636021,0.6307518874,0.4435343621,0.4235230606,0.7655434526,0.6133692083,0.7100223873,0.7642671993,0.4115896873,0.7553126974,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
1,0,0,1,0,0,0,0,0,240,0.6167722161,0.5485575483,0.7533544721,0.7343851536,0.4703673436,0.7818514876,0.7541188328,0.6820297465,0.716794086,0.1562166093,0.6600377673,0.4995821755,0.2072664215,0.3226384054,0.8402301163,0.7762417568,0.8383248315,0.6213739767,0.3337375691,0.631609233,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240
1,0,0,0,0,1,0,0,1,0,0.6134434491,1,1,0.7063129264,0.4783750247,0.3598044924,0.7763920952,0.5024594698,0.5648992209,0.2104704344,0.6491951717,0.6608566935,0.2944714268,0.3571275502,0.6095369983,0.476587594,0.8161967572,0.6148986434,0.3088508638,0.7728989325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
